# Ростер RUnion @ Icecrown — по одному персонажу на строку.
# Формат:  Имя | Класс   (класс нужен только для иконки, можно не указывать)
# Строки с # и пустые игнорируются. Регистр имени — как на Warmane/UwU.

Anatolevich | Warrior
Deadmoron | Hunter
Defe | Mage
Defft | Warrior
Deffty | Mage
Defti | Mage
Deftskil | Rogue
Demos | Rogue
Depressingx | Shaman
Despotia | Warrior
Despotism | Warrior
Dienowplease | Warlock
Discography | Mage
Discosobaka | Priest
Doktorkiller | Shaman
Donstrapon | Paladin
Dpsy | Mage
Droplock | Warlock
Droprogue | Rogue
Dropshaman | Shaman
Dropthehunt | Hunter
Dukalis | Shaman
Ebakasobaka | Druid
Ebuvanal | Warlock
Ecno | Rogue
Egormashina | Death Knight
Egorsnd | Rogue
Egortbeast | Warrior
Egorthebeast | Hunter
Egorwlock | Warlock
Egorxxl | Mage
Elduck | Mage
Emerland | Mage
Enamraw | Warrior
Enjoythis | Rogue
Enrichment | Paladin
Esno | Hunter
Esnoo | Warrior
Eternalsleep | Druid
Evilbitch | Paladin
Evilborn | Warrior
Evvfddg | Death Knight
Ewfddg | Warrior
Ewfdg | Warrior
Explorrior | Warrior
Farmingachi | Death Knight
Feelofnature | Druid
Filkaa | Hunter
Fineshi | Death Knight
Flamemystic | Mage
Floruna | Druid
Forsx | Mage
Freedom | Mage
Frootella | Priest
Fuckstick | Druid
Fullpoly | Mage
Galyadispel | Priest
Galyafreedom | Paladin
Galyainfest | Priest
Galyalesser | Shaman
Galyariptide | Shaman
Galyasmite | Priest
Galyawrath | Druid
Gelar | Paladin
Ghostez | Rogue
Goggland | Warlock
Gogland | Mage
Gralon | Paladin
Greenar | Paladin
Greenlogs | Priest
Grynar | Warrior
Gutenabend | Rogue
Hantgoodx | Hunter
Haterpala | Paladin
Hdshh | Warrior
Hdsn | Hunter
Hdsq | Druid
Herp | Rogue
Hohlipidory | Warlock
Holypulsar | Paladin
Hurep | Druid
Iamclown | Priest
Imbohealer | Paladin
Imboholik | Priest
Iqloolpl | Rogue
Irlina | Mage
Isabelx | Hunter
Jowblobber | Rogue
Juicypal | Paladin
Kamyrochka | Druid
Katycarry | Death Knight
Kekzagamog | Druid
Kemerovo | Death Knight
Kifru | Druid
Kinnachi | Priest
Klimovich | Hunter
Knopochka | Mage
Kodyach | Death Knight
Kolotuha | Warlock
Koshaba | Druid
Krakenshop | Priest
Krekeridza | Mage
Krekeridze | Rogue
Krogank | Druid
Kroggank | Druid
Krogs | Warlock
Ksakk | Warrior
Kuzbass | Paladin
Labrador | Paladin
Laraein | Druid
Lariane | Hunter
Latexfauna | Priest
Lepragnome | Death Knight
Leprekonsky | Mage
Lerein | Hunter
Lezginka | Druid
Likevoodoo | Druid
Lissmage | Mage
Lonelyhawk | Warrior
Lonsdalejke | Priest
Loversa | Priest
Lukaskeyne | Mage
Lukaskeynpal | Paladin
Lukaskeynpri | Priest
Lunarpilot | Paladin
Lynxhunter | Hunter
Lynxi | Warrior
Lynxishade | Priest
Lynxishine | Paladin
Lynxitricks | Rogue
Malamute | Warrior
Mammy | Druid
Mapc | Warrior
Maryna | Death Knight
Maslo | Rogue
Mathfuck | Paladin
Maybebaby | Rogue
Maylins | Paladin
Megabomie | Druid
Melancholya | Priest
Melanholy | Priest
Memoryhole | Mage
Meowfactory | Druid
Meowrr | Mage
Meowsavr | Priest
Mezim | Warrior
Moonck | Priest
Moonhck | Priest
Moonroug | Rogue
Mskiller | Hunter
Mutualfunds | Shaman
Mynk | Warrior
Nabu | Shaman
Naebulina | Druid
Nakamichi | Rogue
Nalteria | Warlock
Nasfer | Shaman
Naylinsis | Death Knight
Naymis | Priest
Nekromonger | Death Knight
Neverloses | Rogue
Neymis | Priest
Nitrogenx | Warlock
Nobodyknwme | Warlock
Nobodypal | Paladin
Nobodywar | Warrior
Nosochek | Priest
Nuteki | Rogue
Odidruid | Druid
Odinoko | Mage
Odipriest | Priest
Odirogue | Rogue
Odisham | Shaman
Odiwarlock | Warlock
Ofat | Paladin
Ogbuda | Druid
Onse | Hunter
Optiex | Paladin
Ostris | Priest
Otsategar | Hunter
Otvet | Priest
Outofheals | Paladin
Paladingoodx | Paladin
Palaladinka | Paladin
Papkarunion | Paladin
Parovozishe | Paladin
Petmepls | Warrior
Pivarius | Warrior
Pivnush | Hunter
Pivoret | Paladin
Plomva | Mage
Ponaehal | Paladin
Popasnaya | Druid
Prymox | Warlock
Pveebaka | Mage
Pveebalo | Warrior
Pvepsina | Paladin
Pvepsinax | Druid
Pvepsinaz | Rogue
Pvesabaka | Priest
Pvesobaka | Warlock
Pvesobakax | Hunter
Pvesobakaxx | Druid
Pvesobakaxz | Warrior
Pvesobakaz | Death Knight
Qaytmas | Warrior
Qose | Druid
Quicksex | Death Knight
Qweqwezxc | Paladin
Racistperson | Shaman
Raein | Warrior
Ratmir | Warrior
Raznosimje | Paladin
Reseth | Warrior
Rogagoodx | Rogue
Saltlady | Death Knight
Samoilov | Priest
Scatterboy | Hunter
Scorchios | Mage
Selfemployer | Warrior
Senzishun | Priest
Sevengroup | Paladin
Seventhgroup | Priest
Shampure | Shaman
Shanson | Warrior
Sharpei | Hunter
Shieldtime | Priest
Shpionka | Mage
Silencefa | Rogue
Slavenin | Death Knight
Sleepmode | Paladin
Sobakaebaka | Hunter
Soloqx | Priest
Soqqachi | Druid
Soularise | Shaman
Soundchimera | Paladin
Spacejame | Druid
Spartak | Paladin
Spotblknylsa | Priest
Stacymxney | Rogue
Starcool | Druid
Stickout | Paladin
Stopcran | Warrior
Strapona | Paladin
Summerflows | Shaman
Sunderclaw | Druid
Swdjk | Warlock
Synapxq | Priest
Taendris | Druid
Tenkorr | Death Knight
Tepakm | Warrior
Tepakom | Druid
Thakefunder | Death Knight
Tigarman | Druid
Totemmaster | Shaman
Treeinbed | Druid
Triggerr | Mage
Trutenb | Death Knight
Tupakshacur | Paladin
Tupakshakur | Warrior
Udjis | Mage
Ultraskuf | Death Knight
Undercoverq | Druid
Undermensh | Druid
Understorm | Shaman
Untermensh | Hunter
Viriah | Priest
Vndxfinxd | Paladin
Vodolaska | Hunter
Voingoodx | Warrior
Voodoolike | Warlock
Wabolda | Rogue
Wahabeat | Mage
Warvzakone | Warrior
Welderr | Death Knight
Wisteris | Druid
Wluxa | Rogue
Woonie | Warrior
Wowerlord | Warrior
Xodze | Priest
Xoxlopez | Paladin
Xyicac | Hunter
Xzif | Druid
Yapeedoor | Druid
Yesno | Druid
Yltra | Hunter
Youmorock | Mage
Yumemi | Paladin
Zhestkiy | Warrior
Zmeyouk | Hunter
Zmeyoukapiu | Paladin
Zxdap | Druid
